Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Children out of school, primary, female",SE.PRM.UNER.FE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Albania,ALB,..,6330,..,9747,13205,10487,7775,4395,4196,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Algeria,DZA,448068,250964,92175,63036,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Angola,AGO,..,..,..,431230,463178,483922,525174,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Antigua and Barbuda,ATG,..,..,472,392,494,754,773,786,..,800,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Argentina,ARG,..,..,13082,17222,17761,33903,32045,31673,24780,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Armenia,ARM,..,..,1023,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Aruba,ABW,..,83,77,55,96,..,..,..,..,23,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Australia,AUS,16327,40203,22261,21943,22829,21978,17343,19816,22965,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Azerbaijan,AZE,..,42620,43150,40596,36907,38153,33050,27846,18916,12640,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Bahamas, The",BHS,..,..,..,60,167,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bangladesh,BGD,2411263,..,..,481918,174125,282669,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Barbados,BRB,409,530,482,323,589,457,661,..,..,827,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Belarus,BLR,..,..,..,..,13993,14605,15355,10011,10626,10616,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Belgium,BEL,..,2545,4983,2614,2689,3534,3318,2375,2158,2860,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Belize,BLZ,..,794,928,901,710,432,688,45,314,348,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Benin,BEN,305551,..,..,142184,99740,..,92509,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bermuda,BMU,..,..,..,..,..,..,277,438,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bhutan,BTN,..,23577,..,8468,6051,4888,4575,3865,4698,4779,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bolivia,BOL,..,26296,21857,34260,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,2419,1054,..,399,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Botswana,BWA,14769,25106,21442,21914,21870,..,..,12938,12395,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Brazil,BRA,..,..,428212,138568,158529,..,281299,145720,455495,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bulgaria,BGR,..,5362,5613,2476,334,321,1241,3390,3996,4277,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Burkina Faso,BFA,..,649098,568166,509928,485215,551636,504546,501274,501098,499647,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Burundi,BDI,..,393264,153055,86035,93561,60476,..,..,78440,27340,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cabo Verde,CPV,..,737,2779,2710,2246,1479,978,448,347,463,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cambodia,KHM,..,135251,60689,71168,..,69514,43181,43991,..,57357,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cameroon,CMR,327905,..,..,..,..,..,..,198007,..,184714,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Canada,CAN,48183,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Central African Republic,CAF,126425,..,173812,147180,148105,140959,146099,134223,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Chad,TCD,..,420327,..,..,..,..,482025,..,295355,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Chile,CHL,..,..,22288,26066,41823,37444,47251,50674,54306,50233,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Colombia,COL,..,52356,75973,72498,64061,59277,55319,113260,134714,147281,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Comoros,COM,..,17292,12303,..,..,..,..,..,9563,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Congo, Dem. Rep.",ZAR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Congo, Rep.",COG,..,..,..,..,..,38435,..,10671,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Costa Rica,CRI,25063,..,..,..,..,..,940,825,2761,7641,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cote d'Ivoire,CIV,..,673455,..,..,786424,..,..,..,561054,514940,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Croatia,HRV,..,6448,107,1407,7660,3748,1664,360,..,270,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cuba,CUB,32484,10473,11948,7689,..,13,4183,10189,12925,24438,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cyprus,CYP,7572,511,209,358,298,140,198,436,544,572,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Denmark,DNK,3691,2391,4215,4533,4714,5153,3733,2850,2228,2945,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Djibouti,DJI,34889,47064,32728,24566,24568,..,20855,..,21527,18734,21582,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Dominica,DMA,..,..,466,432,48,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Dominican Republic,DOM,..,86168,62364,83882,54759,63031,60551,71430,77067,90684,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Ecuador,ECU,..,21169,..,..,12694,19837,..,..,..,21518,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Egypt, Arab Rep.",EGY,..,579451,..,..,..,..,..,145352,..,33219,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,El Salvador,SLV,..,31540,14916,14029,13844,14173,15196,15405,14012,18824,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Equatorial Guinea,GNQ,..,14138,..,23702,24181,24445,23638,22806,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Eritrea,ERI,..,177036,147507,159019,171279,183321,184897,186120,205607,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Estonia,EST,..,13,1142,1369,1503,481,81,66,209,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Ethiopia,ETH,..,3497146,2116440,1788760,1822672,2014672,1777390,1705794,..,1276071,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Fiji,FJI,..,2800,..,..,171,..,..,..,780,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Finland,FIN,..,..,4424,4165,3952,3456,2896,1259,333,196,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,France,FRA,..,3497,13135,13763,11057,10704,10124,10181,7010,6756,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Gambia, The",GMB,..,29921,25079,30975,..,37779,38583,35872,43426,44729,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Georgia,GEO,..,..,8644,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Ghana,GHA,..,514939,449966,364546,399206,..,283703,345681,241632,199242,151839,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Greece,GRC,17953,5415,11357,..,..,6934,8330,8394,10292,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Grenada,GRD,..,..,423,240,49,..,..,..,97,170,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Guatemala,GTM,..,167206,57743,56642,17472,16658,38395,72099,101212,127722,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Guinea,GIN,370409,428539,290887,307667,306622,305808,271472,284518,284935,260689,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Guinea-Bissau,GNB,..,64302,..,..,..,39845,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Guyana,GUY,..,..,..,6531,10630,9754,9207,9098,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Honduras,HND,..,55703,39136,15958,13648,16229,10431,11111,24762,25029,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,2097,1812,1329,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Hungary,HUN,..,7903,6617,3932,2160,2322,3832,5781,7386,7737,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Iceland,ISL,..,..,256,165,100,153,171,162,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,India,IND,17687004,13416546,2248144,1406158,1865020,1688497,1695210,1384677,931474,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Indonesia,IDN,674600,..,670689,677076,611359,380792,227611,556230,855416,1043640,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Iran, Islamic Rep.",IRN,476684,661766,4670,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Iraq,IRQ,..,328460,293087,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Ireland,IRL,22688,..,..,..,..,25,2049,446,975,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Israel,ISR,..,7397,8016,8454,10036,8404,10016,7823,9801,10626,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Italy,ITA,..,3740,18501,19538,17910,15542,20569,14079,10705,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Jamaica,JAM,2583,10672,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Japan,JPN,..,..,..,..,..,2036,1658,1849,1633,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Jordan,JOR,..,..,6343,18679,..,45000,52048,60532,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kazakhstan,KAZ,..,30594,11955,5590,1711,..,1449,1534,1699,1971,446,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kenya,KEN,..,861725,379261,501833,484010,..,..,413319,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,22579,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Korea, Rep.",KOR,..,73,2767,3279,15908,24030,20569,21024,54508,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kuwait,KWT,..,587,830,44,..,508,338,556,776,799,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kyrgyz Republic,KGZ,..,18490,11799,12886,13712,12635,12443,6074,4170,4892,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Lao PDR,LAO,..,106295,67992,56572,44900,27315,25910,26384,20224,20826,..,..
